City,Menu_Link,Name,Number_of_Reviews,Phone,Price_Range,Rating,State,Street_Address,Zip_Code
San Francisco,,Farmhouse Kitchen Thai Cuisine,3699,(415) 814-2920,,4.1,CA,710 Florida St ,94110
San Francisco,,NONO,126,"1730 Fillmore St San Francisco, CA 94115",,4.3,CA,1730 Fillmore St ,94115
San Francisco,https://www.mattinasf.com/menu,Mattina,88,"2232 Bush St San Francisco, CA 94115",,3.9,CA,2232 Bush St ,94115
,,,0,,,,, ,
San Francisco,https://daehokalbijjim.com/menu/,Daeho Kalbijjim & Beef Soup,2024,(415) 563-1388,"$32.00,$98.00,$26.00,$25.00",4.5,CA,1620 Post St ,94115
San Francisco,,Ben Thai Cafe,1042,(415) 771-2562,,4.4,CA,1331 Polk St ,94109
San Francisco,http://www.kitchenstorysf.com/wp-content/uploads/2022/07/KS-Breakfast-06302022.pdf,Kitchen Story,4120,(415) 525-4905,,4.1,CA,3499 16th St ,94114
,,,0,,,,, ,
San Francisco,https://www.fishinthebox-sf.com/menu,Fish In The Box,321,(415) 563-2828,,4.6,CA,800 Masonic Ave ,94117
San Francisco,,Movida,142,(415) 212-6672,,4.3,CA,555 2nd St ,94107
San Francisco,,Dumpling Home,1513,"298 Gough St San Francisco, CA 94102","$15.95,$14.95,$15.95,$10.95,$11.95,$10.95,$17.95,$15.95,$11.95,$15.95,$19.95,$20.95,$11.95,$15.95,$9.95,$15.95,$15.95,$17.95,$15.95,$11.95",4.5,CA,298 Gough St ,94102
San Francisco,,Sandy's,165,(415) 655-9691,,4.6,CA,1457 Haight St ,94117
San Francisco,,CreoLa,229,(415) 260-3143,"$6.00,$25.00,$28.00,$16.00,$12.00,$14.00,$23.00,$22.00,$9.00,$26.00,$22.00,$11.00,$23.00",4.5,CA,900 Stanyan St ,94117
San Francisco,https://www.komaaj.com/menu/all-day-menu/,Komaaj Pila Bazaar,234,(415) 598-8286,,4.7,CA,10 29th st ,94110
San Francisco,https://www.finthaisf.com/our-menus/,Fin Thai SF ,44,(415) 636-9966,,4.8,CA,2327 Polk St ,94109
San Francisco,https://www.sanhowon.com/menu,San Ho Won,577,(415) 868-4479,,4.5,CA,2170 Bryant St ,94110
San Francisco,https://www.oodlesf.com/menu,Oodle Yunnan Rice Noodle,148,(415) 571-8889,"$16.95,$17.95,$17.50,$15.50,$16.95,$16.95,$16.95,$17.95,$16.95,$16.95",4.6,CA,3420 Balboa St ,94121
San Francisco,,Dabao Singapore,83,"1661 Tennessee St Ste 2k San Francisco, CA 94107",,4.8,CA,1661 Tennessee St Ste 2k,94107
San Francisco,,ILCHA,297,(415) 613-9288,,4.4,CA,2151 Lombard St ,94123
San Francisco,,Burma Superstar,7564,(415) 387-2147,,4.2,CA,309 Clement St ,94118
San Francisco,https://beachnsf.com/menu/,Beach’n,129,(415) 682-4961,,4.7,CA,4300 Judah St ,94122
San Francisco,https://dumplingstory.net/menu,Dumpling Story,211,(415) 829-3664,,4.5,CA,2114 Fillmore St ,94115
San Francisco,,Beit Rima,342,(415) 566-1274,,4.3,CA,86 Carl St ,94117
San Francisco,,NOVY Restaurant,571,(415) 829-8383,"$24.15,$23.00,$23.00,$17.25,$20.70,$17.25,$21.85,$28.75,$21.85,$20.70,$24.15,$25.30,$27.60,$23.00,$18.40,$26.45,$11.50,$13.80,$29.90,$23.00",4.1,CA,4000 24th St ,94114
San Francisco,https://www.lavashsf.com/menus/,Lavash,1682,(415) 664-5555,,4.2,CA,511 Irving St ,94122
San Francisco,https://www.coteouestbistro.com/menus/,Cote Ouest Bistro,218,(415) 896-4709,,4.7,CA,2953 Baker St ,94123
San Francisco,https://statebirdsf.com/dinner/,State Bird Provisions,3263,(415) 795-1272,"$16.00,$8.00,$3.00,$12.00,$7.00,$3.00,$11.00,$23.00,$30.00,$7.00,$7.00",4.2,CA,1529 Fillmore St ,94115
San Francisco,https://www.romasf.com/_files/ugd/5bbd55_e0a043d4915b4eab928c69065c80086f.pdf,Roma Antica,1478,(415) 896-4281,"$10.00,$18.00,$22.00,$21.00,$23.00,$20.00,$24.00,$22.00,$21.00,$17.00,$21.00,$10.00,$22.00",4.5,CA,3242 Scott St ,94123
San Francisco,,Cafe de Casa,200,(415) 829-7915,"$6.85,$5.75,$7.05,$20.25,$6.85,$24.05,$8.05",4.6,CA,3985 17th St ,94114
San Francisco,https://www.thelinehotel.com/san-francisco/restaurants-bars/rise-over-run/#menus,Rise Over Run,136,(628) 336-4133,,4.1,CA,33 Turk St ,94102
San Francisco,,Elena's Mexican Restaurant,180,(415) 622-4440,,3.9,CA,255 W Portal Ave ,94127
San Francisco,,Cha Cha Cha,3469,(415) 386-7670,"$13.00,$11.00,$13.00,$13.00,$11.00,$11.50,$9.50,$13.00,$9.50,$12.00,$15.00,$12.00",3.9,CA,1801 Haight St ,94117
San Francisco,,Lark,347,(415) 400-4623,"$8.00,$17.00,$9.00,$15.00,$10.00,$18.00,$16.00,$11.00",4.1,CA,4068 18th St ,94114
San Francisco,,DACHA Kitchen & Bar,55,(415) 932-6672,,4.8,CA,1085 Sutter St ,94109
San Francisco,,Copra,425,(415) 873-0795,,4.0,CA,1700 Fillmore St ,94115
San Francisco,,Gola,90,,,4.7,CA,819 Valencia St ,94110
San Francisco,,Zazie,5258,(415) 564-5332,,4.2,CA,941 Cole St ,94117
San Francisco,,Rasa Rasa Kitchen,27,"2200 Bryant St San Francisco, CA 94110",,4.7,CA,2200 Bryant St ,94110
San Francisco,https://www.sevenhillssf.com/#menu-1-section,Seven Hills,1370,(415) 775-1550,"$23.00,$11.00,$45.00,$16.00,$11.00,$24.00,$26.00,$26.00,$18.00,$17.00,$42.00",4.5,CA,1896 Hyde St ,94109
San Francisco,,Mamanoko,622,(415) 346-8494,,4.3,CA,2317 Chestnut St ,94123
San Francisco,,Bocconcino,83,"516 Green St San Francisco, CA 94133",,4.7,CA,516 Green St ,94133
San Francisco,,Breadbelly,584,(415) 349-0969,,4.5,CA,1408 Clement St ,94118
San Francisco,,Taste Of Old Street,35,"5336 Geary Blvd San Francisco, CA 94121",,4.5,CA,5336 Geary Blvd ,94121
San Francisco,,Beit Rima,794,(415) 703-0270,"$23.00,$23.00,$12.00,$32.00,$11.00,$15.00,$15.00,$7.50,$9.00,$12.00,$31.00,$7.00,$16.00",4.5,CA,138 Church St ,94114
San Francisco,,STOA,27,,,4.4,CA,701 Haight St ,94117
San Francisco,https://www.toasttab.com/ummasf/v3,Um Ma,756,(415) 943-6071,,3.8,CA,1220 9th Ave ,94122
San Francisco,,Chome,367,"3601 26th St San Francisco, CA 94110",,4.6,CA,3601 26th St ,94110
San Francisco,https://static1.squarespace.com/static/647a5105ad65a64a0df226b9/t/65654c9e28daf91786b1a919/1701137566453/Edomasa_GrandOpening_Menu_111923_web.pdf,Yakitori Edomasa,135,(415) 872-7646,,4.0,CA,1581 Webster St Ste 270,94115
San Francisco,,Ushi Taro Ramen,591,(415) 702-6014,"$16.00,$16.00,$16.00,$8.00,$15.00,$9.00,$16.50,$14.50,$16.00,$17.00,$7.00,$7.00,$15.00",4.3,CA,1382 9th Ave ,94122
San Francisco,,Bagatella,98,(415) 796-3086,"$19.00,$38.00,$17.00,$27.00,$44.00,$24.00,$29.00,$29.00,$15.00,$17.00,$17.00,$19.00,$25.00,$24.00,$39.00,$11.00",4.3,CA,3348 Steiner St ,94123
San Francisco,,Andina,34,(415) 287-6599,,4.8,CA,205 Franklin St ,94102
San Francisco,,Frances,1572,(415) 621-3870,"$9.00,$9.00,$34.00,$9.00,$14.00,$34.00,$15.00,$14.00",4.3,CA,3870 17th St ,94114
San Francisco,http://www.hookfishco.com/#web-menu,Hook Fish,1168,"4542 Irving St San Francisco, CA 94122",,4.3,CA,4542 Irving St ,94122
San Francisco,https://mannasf.com/menu,Manna,1451,(415) 665-5969,,4.2,CA,845 Irving St ,94122
San Francisco,http://www.heritagerestaurantbar.com/dinner,Heritage Restaurant & Bar,279,(415) 386-2200,,4.3,CA,708 Clement St ,94118
San Francisco,,Boichik Bagels,24,(628) 967-7485,,4.1,CA,3665 Sacramento St ,94118
San Francisco,https://birdsongsf.getbento.com/menus/,Birdsong,422,(415) 369-9161,,4.4,CA,1085 Mission St ,94103
San Francisco,,Cantina Los Mayas,111,(415) 571-8027,,4.8,CA,431 Balboa St ,94118
San Francisco,,Ollei,157,"2127 Polk St San Francisco, CA 94109","$18.00,$24.00,$20.00,$27.00,$5.00,$37.00,$19.00,$19.00,$28.00,$19.00,$22.00,$20.00,$20.00,$13.00,$19.00",4.5,CA,2127 Polk St ,94109
San Francisco,https://eathomeskillet.com/Menu.html,Okaeri Japanese Bistro,303,(415) 655-9588,,4.5,CA,3515 20th St ,94110
,,,0,,,,, ,
San Francisco,,Anomaly SF,173,(415) 510-9468,,4.7,CA,2600 Sutter St ,94115
San Francisco,,Fisch & Flore,6,,,4.8,CA,2298 Market St ,94114
San Francisco,,MuuKaTa6395 Thai Charcoal BBQ,361,(415) 429-4956,,4.6,CA,4217 Geary Blvd ,94118
San Francisco,,Routier,177,(415) 766-9997,,4.4,CA,2801 California St ,94115
San Francisco,https://brendasmeatandthree.com/menus/breakfast/,Brenda's Meat & Three,1535,(415) 926-8657,,4.2,CA,919 Divisadero St ,94115
San Francisco,https://marcellaslasagneria.net/#menu,Marcella's Lasagneria,533,(415) 920-2225,"$20.75,$20.75,$20.75,$20.75,$17.50,$20.75,$20.75,$19.50,$19.50",4.6,CA,1099 Tennessee St ,94107
San Francisco,,Katsuo + Kombu,165,"559 Divisadero St San Francisco, CA 94117",,4.3,CA,559 Divisadero St ,94117
San Francisco,http://www.italianhomemadecompany.com/menu-marina.pdf,The Italian Homemade Company,1249,(415) 625-5965,"$17.00,$13.50,$13.50,$13.50,$22.00,$22.00,$10.00,$17.00,$18.00,$4.00,$21.00,$18.00",4.3,CA,1919 Union St ,94123
San Francisco,,Hokkaido Sashimi Marketplace,56,(415) 876-2828,,4.4,CA,5423 Geary Blvd ,94121
San Francisco,http://www.fiorella-sf.com/menus,Fiorella - Sunset,325,(415) 404-6997,"$14.70,$23.10,$18.90,$25.20,$10.50,$16.80,$16.80,$23.10,$25.20,$25.20,$25.20,$21.00,$10.50",4.1,CA,1240 9th Ave ,94122
San Francisco,,Caliente Bistro Kitchen,257,(415) 379-6250,,4.8,CA,4828 Geary Blvd ,94118
San Francisco,,Unco Frank’s,95,(510) 279-8642,"$18.00,$21.00,$18.00,$17.00",4.5,CA,443 Clement St ,94118
San Francisco,https://www.bodegarestaurants.com/menu,Bodega,599,(415) 655-9341,,4.4,CA,138 Mason St ,94102
San Francisco,,Freekeh,188,(415) 553-8966,,4.7,CA,3126 16th St ,94103
San Francisco,,DragonEats,326,(415) 522-6689,,4.4,CA,1671 Haight St ,94117
San Francisco,https://crackedandbattered.com/menu,Cracked & Battered - Marina,491,(415) 638-6022,,4.6,CA,2240 Chestnut St ,94123
San Francisco,,C.Q. Noodles,182,(415) 751-5332,"$19.95,$16.95,$12.95,$8.95,$15.95,$15.95,$3.95,$15.95,$12.95,$13.95,$9.95,$16.95,$7.95,$12.95,$15.95,$7.95,$16.95,$16.95,$12.95,$15.95",4.5,CA,2121 Clement St ,94121
San Francisco,,Bistro Central Parc,1098,(415) 525-3064,,4.3,CA,560 Central Ave ,94117
San Francisco,https://www.maillardssf.com/menu,Maillards Smash Burgers,32,"1994 37th Ave San Francisco, CA 94116",,4.5,CA,1994 37th Ave ,94116
San Francisco,,Early To Rise,58,"1801 Mcallister St San Francisco, CA 94115",,4.4,CA,1801 Mcallister St ,94115
San Francisco,https://eatmamahuhu.getbento.com/menu/,Mamahuhu,109,(415) 374-7012,,4.0,CA,3991 24th St ,94114
San Francisco,https://therusticsf.com/menu.html,The Rustic,80,(415) 872-7123,"$19.00,$22.00,$25.00,$27.00,$32.00,$21.00,$10.00,$24.00,$14.00,$10.00,$11.00,$15.00,$23.00,$24.00,$18.00,$39.00",4.6,CA,215 Church St ,94114
San Francisco,https://basecampsf.com/menu,Base Camp,312,(415) 654-5349,"$18.00,$13.00,$19.00,$10.00,$13.00,$13.00,$14.00,$18.00,$15.00,$10.00,$21.00,$19.00,$10.00,$13.00,$19.00,$18.00,$21.00,$16.00,$18.00,$23.00",4.5,CA,2400 Folsom St ,94110
San Francisco,,Pasta Panino,85,(415) 829-3829,"$20.00,$20.00,$24.20,$9.90,$9.90,$19.00,$16.00,$13.00,$18.00,$17.00,$13.00",4.6,CA,4150 18th St ,94114
San Francisco,,Corks,108,(415) 650-3002,,4.7,CA,4342 California St ,94118
San Francisco,,Moku Yakitori-Ya,126,"312 8th Ave San Francisco, CA 94118",,4.4,CA,312 8th Ave ,94118
San Francisco,https://www.sikdangwoori.com/uploads/b/f17046f0-2d84-11ee-b898-51e81eab0cf2/1658cd80-9568-11ee-998e-1d6dc6665c77.pdf,Sikdang Woori,46,(415) 658-7974,,4.4,CA,1506 Fillmore St ,94115
San Francisco,https://www.matterhornsf.com/menu,Matterhorn Restaurant & Bakery,188,(415) 829-7540,,4.5,CA,2323 Van Ness Ave ,94109
San Francisco,https://kaiyosf.com/rooftop-menu,Kaiyo Rooftop,813,(415) 800-8141,,3.8,CA,701 3rd St Fl 12,94105
San Francisco,,Suppenküche,3347,(415) 252-9289,,4.1,CA,525 Laguna St ,94102
San Francisco,,Vive La Tarte,142,(415) 780-5818,"$6.25,$18.50,$6.75,$6.75,$16.50,$6.75,$18.00,$6.00,$18.25",4.3,CA,4026 24th St ,94114
San Francisco,https://www.troyasf.com/menus-2,Troya,772,(415) 563-1000,,4.0,CA,2125 Fillmore St ,94115
San Francisco ,,Sunset29 BBQ,57,(415) 723-2929,,5.0,CA, ,94116
San Francisco,,Queen's Louisiana Po-Boy Cafe,728,(415) 397-1507,,3.8,CA,33 The Embarcadero Ste 100,94133
San Francisco,https://tangladsf.webflow.io/menu,Tanglad,289,(415) 624-3238,,4.5,CA,469 Castro St ,94114
San Francisco,https://www.bks-sf.com/menu/food-drink-menu,Best Kept Secret,75,(415) 598-8220,,4.1,CA,1055 Taraval St ,94116
San Francisco,,Nara Restaurant & Sake Bar,2051,(415) 417-0518,,4.6,CA,518 Haight St ,94117
San Francisco,https://www.peacockpansy.com/menu,Peacock Pansy,167,(628) 246-2354,"$23.00,$31.00,$18.00,$23.00,$13.00,$27.00,$21.00,$33.00,$25.00,$14.00,$19.00,$31.00,$21.00,$23.00,$23.00,$21.00,$21.00,$19.00,$21.00",4.3,CA,392 Fulton St ,94102
San Francisco,,Brenda's French Soul Food,12231,(415) 345-8100,,4.2,CA,652 Polk St ,94102
San Francisco,https://www.abrazosf.com/menu/,Abrazo,198,(415) 872-9239,,4.5,CA,2000 Hyde St ,94109
San Francisco,http://www.manitascafe.com/menu,Manitas Cafe,194,(415) 213-5566,"$16.50,$17.00,$17.00,$19.00,$18.00,$15.00,$17.00,$15.00,$10.00,$13.00,$15.00,$7.00,$8.00,$12.00,$14.00",4.5,CA,2078 Hayes St ,94117
San Francisco,http://www.anchoroysterbar.com/AnchorOysterBarMenu.pdf,Anchor Oyster Bar,1686,(415) 431-3990,,4.5,CA,579 Castro St ,94114
San Francisco,,Secret Garden,10,"2128 Folsom St San Francisco, CA 94110",,4.4,CA,2128 Folsom St ,94110
San Francisco,https://dinfo.me/onlineordernew/#/home/menu/?restid=dumplingdynasty,Dynasty Dumpling ,124,(415) 364-8699,"$17.95,$21.95,$18.95,$16.95,$12.95,$8.95,$10.95,$16.95,$11.95,$6.95,$6.95,$11.95,$6.95,$6.95,$15.95,$6.95,$8.95,$16.95,$11.95,$11.50",4.7,CA,2786 California St ,94115
San Francisco,https://www.cocinamamacholita.com/menu,Cocina Mamá Cholita,155,(415) 874-9720,,4.9,CA,3471 Mission St ,94110
San Francisco,,Mezze and Mooore,194,"198 Guerrero St San Francisco, CA 94103","$13.00,$15.00,$13.00,$10.00,$8.00,$13.00,$15.00,$13.00,$19.00,$13.00,$15.00,$13.00,$10.00,$13.00,$7.00,$10.00,$3.50,$13.00,$13.00,$15.00",4.8,CA,198 Guerrero St ,94103
San Francisco,,opa cafe,564,(415) 913-7745,,4.6,CA,2401 Post St ,94115
San Francisco,https://damnfineco.com/menu/,Damn Fine,362,(415) 941-7503,,4.3,CA,3410 Judah St ,94122
San Francisco,https://ofenasf.com/menu,Ofena,96,(415) 347-7272,,4.5,CA,2529 Ocean Ave ,94132
San Francisco,,Ko,37,"2193 Mission St San Francisco, CA 94110",,4.7,CA,2193 Mission St ,94110
San Francisco,,Teakwood,122,(415) 874-9000,,4.0,CA,399 Grove St ,94102
San Francisco,https://sanfrancisco.floressf.com/menus/,Flores San Francisco,1066,(415) 796-2926,,4.1,CA,2030 Union St ,94123
San Francisco,http://www.cafeokawari.com,Cafe Okawari,394,(415) 801-5927,"$17.00,$13.00,$20.00,$12.00,$17.50,$16.50,$18.00,$21.00,$9.00,$17.00,$15.50",4.5,CA,236 Townsend St ,94107
San Francisco,,Cole Valley Tavern,101,(415) 681-7678,"$27.00,$12.00,$21.00,$26.00,$23.00,$18.00,$16.00",4.1,CA,900 Cole St ,94117
San Francisco,,Pizzetta 211,1498,(415) 379-9880,,4.3,CA,211 23rd Ave ,94121
San Francisco,http://www.thecrewsf.com/menu.php,The Crew,594,(415) 665-8548,,3.9,CA,1330 Noriega St ,94122
San Francisco,,Dumpling House,504,(415) 829-2789,"$8.95,$9.95,$11.95,$7.95,$13.95,$9.95,$9.95,$10.95,$8.95,$10.50,$8.95,$8.95,$7.50,$12.50,$11.95,$8.95,$13.50,$10.95,$8.95,$7.50",4.3,CA,335 Noe St ,94114
San Francisco,http://www.paprikasf.com/dinner,Paprika,447,(415) 375-1477,"$25.00,$11.00,$25.50,$12.00,$22.00,$22.50,$15.00",4.4,CA,3324 24th St ,94110
San Francisco,https://damansarasf.com/all-menus/,Damansara,98,"1781 Church St San Francisco, CA 94131",,3.8,CA,1781 Church St ,94131
San Francisco,,Mama Mu's Bistro,56,"1316 Noriega St San Francisco, CA 94122","$13.90,$20.70,$13.90,$28.90,$11.90,$18.40,$20.70,$17.25,$20.70,$11.90,$25.30,$17.25,$25.30",4.5,CA,1316 Noriega St ,94122
San Francisco,,Bay Of Burma,43,(415) 757-0261,"$17.50,$16.50,$20.00,$18.75,$16.50,$18.50,$17.50",4.8,CA,1174 Folsom St ,94103
San Francisco,http://pampanguenacuisine.com/menu,Pampanguena Cuisine,432,(415) 586-8899,,4.3,CA,4441 Mission St ,94112
San Francisco,,The Pawn Shop,714,(415) 874-8041,,4.6,CA,993 Mission St ,94103
San Francisco,https://img1.wsimg.com/blobby/go/6b59b6f5-0511-4b46-b5ef-7b25353c0408/Mariposas%20December%20Menu.pdf,Mariposas ,50,(415) 845-1557,"$33.00,$27.00,$27.00,$25.00,$15.00,$24.00,$19.00",4.6,CA,825 Mission St ,94103
San Francisco,https://curryhyuga.com/menu/,Curry Hyuga,96,(415) 347-3134,"$16.50,$5.50,$14.50,$16.50,$16.50,$18.00,$18.25",4.7,CA,1819 Market St ,94103
San Francisco,,The Public Izakaya,420,"700 Post St San Francisco, CA 94109",,4.4,CA,700 Post St ,94109
San Francisco,,Komeya No Bento,163,(415) 795-1065,,4.7,CA,3137 Laguna St ,94123
San Francisco,https://www.roaminggoatsf.com/menu,Roaming Goat,80,(415) 769-7281,,4.6,CA,1830 Union St ,94123
San Francisco,https://orderonlinemenu.com/Limoncellos,Limoncello,1726,(415) 638-6361,"$15.95,$15.95,$16.95,$17.95,$16.95,$7.00,$16.95,$16.95,$3.00,$17.95,$8.00",4.8,CA,1400 Sutter St ,94109
San Francisco,,SHOWA Le Gourmet Tonkatsu,10,(415) 470-1107,,5.0,CA,1550 Howard St ,94103
San Francisco,,Prik Hom,78,(628) 626-4797,,4.4,CA,3226 Geary Blvd ,94118
San Francisco,https://tanikusf.square.site,Taniku Izakaya,136,(415) 658-7555,,4.9,CA,1035 Geary St ,94109
San Francisco,https://www.poesiasf.com/menu,Poesia Café,61,"4076 18th St San Francisco, CA 94114",,4.6,CA,4076 18th St ,94114
San Francisco,https://www.shodaisf.com/menu,Yakiniku Shodai,85,(415) 757-0201,,4.7,CA,1420 Market St ,94102
San Francisco,,Presidio Kebab,326,"3277 Sacramento St San Francisco, CA 94115","$24.00,$8.00,$25.00,$15.00,$12.00,$23.00,$22.00,$20.00,$29.00,$10.95,$22.00,$22.00,$11.00,$24.00,$10.95,$8.00",4.7,CA,3277 Sacramento St ,94115
San Francisco,https://georgiancheeseboat.com/menu/,Georgian Cheese Boat,112,(415) 757-0562,"$21.00,$19.00,$25.00,$21.00,$14.00,$18.00,$15.00,$14.00,$12.00,$19.00,$19.00,$13.00,$25.00,$19.00,$18.00,$19.00",4.5,CA,1224 Grant Ave ,94133
San Francisco,,Ox & Tiger,97,(415) 992-3827,,4.9,CA,552 Jones St ,94102
San Francisco,https://www.saucyasian.com/menus/,Saucy Asian,454,(415) 834-5555,"$16.49,$16.99,$5.25,$16.49,$16.49,$16.49,$15.49,$0.00,$15.49",4.3,CA,3801 17th St ,94114
San Francisco,,"Bon, Nene",414,(415) 872-9332,"$13.00,$12.00,$8.00",4.2,CA,2850 21st St ,94110
San Francisco,https://www.eatmamahuhu.com/menu/,Mamahuhu,432,(415) 742-4958,,4.0,CA,517 Clement St ,94118
San Francisco,,Parker Potrero,282,(415) 413-4355,"$13.00,$16.00,$16.00,$17.00,$17.00,$15.00,$16.00,$18.00,$20.00,$15.00,$14.00,$13.00,$13.00,$20.00,$15.00",4.4,CA,1399 18th St ,94107
San Francisco,https://originaljoes.com/north-beach/menu/,Original Joe's,2119,(415) 775-4877,,4.1,CA,601 Union St ,94133
San Francisco,,Sisterita,475,(415) 649-1919,"$22.00,$22.00,$22.00,$26.00,$17.00,$23.00,$30.00,$25.00,$30.00,$22.00,$32.00",4.6,CA,669 Commercial St ,94111
San Francisco,https://www.gluglusf.com/#Food,GluGlu,18,"7 Warriors Way Ste 202 San Francisco, CA 94158",,4.6,CA,7 Warriors Way Ste 202,94158
San Francisco,,Eats,1340,(415) 751-8000,,3.9,CA,50 Clement St ,94118
San Francisco,,7 Adams,80,(415) 655-9154,,4.3,CA,1963 Sutter St ,94115
San Francisco,,The Richfield,214,,,4.3,CA,195 5th Ave ,94118
